Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,C:\Github\POCs\my-dotnet-poc\ddd\build\_build.csproj,File,C:\Github\POCs\my-dotnet-poc\ddd\build\_build.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\Github\POCs\my-dotnet-poc\ddd\build\_build.csproj,File,C:\Github\POCs\my-dotnet-poc\ddd\build\Utils\SqlReadinessChecker.cs,11,12,T:System.Data.SqlClient.SqlConnection,,,,,using var connection = new SqlConnection(connectionString);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\Github\POCs\my-dotnet-poc\ddd\build\_build.csproj,File,C:\Github\POCs\my-dotnet-poc\ddd\build\Utils\SqlReadinessChecker.cs,11,12,M:System.Data.SqlClient.SqlConnection.#ctor(System.String),,,,,using var connection = new SqlConnection(connectionString);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,C:\Github\POCs\my-dotnet-poc\ddd\build\_build.csproj,File,C:\Github\POCs\my-dotnet-poc\ddd\build\BuildIntegrationTests.cs,226,12,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(                  MyMeetingsDatabaseEnvName,                  MyMeetingsDatabaseConnectionString);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,C:\Github\POCs\my-dotnet-poc\ddd\build\_build.csproj,File,C:\Github\POCs\my-dotnet-poc\ddd\build\BuildIntegrationTests.cs,199,12,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(                  MyMeetingsDatabaseEnvName,                  MyMeetingsDatabaseConnectionString);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,C:\Github\POCs\my-dotnet-poc\ddd\build\_build.csproj,File,C:\Github\POCs\my-dotnet-poc\ddd\build\BuildIntegrationTests.cs,172,12,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(                  MyMeetingsDatabaseEnvName,                  MyMeetingsDatabaseConnectionString);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,C:\Github\POCs\my-dotnet-poc\ddd\build\_build.csproj,File,C:\Github\POCs\my-dotnet-poc\ddd\build\BuildIntegrationTests.cs,145,12,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(                  MyMeetingsDatabaseEnvName,                  MyMeetingsDatabaseConnectionString);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,C:\Github\POCs\my-dotnet-poc\ddd\build\_build.csproj,File,C:\Github\POCs\my-dotnet-poc\ddd\build\BuildIntegrationTests.cs,118,12,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(                  MyMeetingsDatabaseEnvName,                  MyMeetingsDatabaseConnectionString);"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,API\CompanyName.MyMeetings.API\CompanyName.MyMeetings.API.csproj,File,API\CompanyName.MyMeetings.API\CompanyName.MyMeetings.API.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.19.5,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.19.5  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,API\CompanyName.MyMeetings.API\CompanyName.MyMeetings.API.csproj,File,API\CompanyName.MyMeetings.API\CompanyName.MyMeetings.API.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Tests\ArchTests\CompanyName.MyMeetings.ArchTests.csproj,File,Tests\ArchTests\CompanyName.MyMeetings.ArchTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BuildingBlocks\Application\CompanyName.MyMeetings.BuildingBlocks.Application.csproj,File,BuildingBlocks\Application\CompanyName.MyMeetings.BuildingBlocks.Application.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BuildingBlocks\Application\CompanyName.MyMeetings.BuildingBlocks.Application.csproj,File,BuildingBlocks\Application\CompanyName.MyMeetings.BuildingBlocks.Application.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
